name;address;nature;nightlife;drink;music;dance;history;sports;art;museum;walk;restaurant;movie
ZSL London Zoo;Regent's Park, Outer Circle, London, United Kingdom;1;;;;;;;;;1;;
Tate Britain;Millbank;;;;;;1;;1;1;;;
Grosvenor Gardens;Grosvenor Gardens, London, United Kingdom;;;1;;;;;;;;;
Soho Square;London, United Kingdom;;;1;;;;;;;;;
Ministry of Sound;103 Gaunt Street, London, United Kingdom;;1;1;1;1;;;;;;;
Duke of Cambridge;30 St Peter's St;;1;1;1;;;;;;;1;
The Blackfriar;174 Queen Victoria St;;1;1;1;;;;;;;1;
The Holly Bush;22 Holly Mount;;1;1;1;;;;;;;1;
Dogstar;389 Coldharbour Ln.;;1;1;1;;;;;;;;
The Atlas;16 Seagrave Rd.;;1;1;1;;;;;;;1;
Roadhouse;The Market At Covent Garden, 35 The Piazza, London, United Kingdom;;1;1;1;1;;;;;;1;
Ye Olde Spotted Horse;122 Putney High St;;1;1;1;;;;;;;1;
The Coat and Badge;10 Lacy Road;;1;1;1;;;1;;;;1;
Blue Anchor;13 Lower Mall;;1;1;1;;;;;;;1;
The Cow;89 Westbourne Park Rd;;1;1;1;;;;;;;1;
Founder's Arms;52 Hopton St;;1;1;1;;;1;;;;1;
Pig & Whistle;479-481 Merton Rd;;1;1;1;;;1;;;;1;
The Lost Angel;339 Battersea Park Rd;;1;1;1;;;;;;;1;
Studio North;277 New North Road, London, United Kingdom;;1;1;1;;;;;;;1;
Cargo;83 Rivington Street, London, United Kingdom;;1;1;1;;;1;;;;1;
The King's Head;1 The Green;;1;1;1;;;;;;;1;
East Hill Gallery;49 East Hill, London, United Kingdom;;1;1;1;;;1;;;;1;
The Grapes;76 Narrow St.;;1;1;1;;;;;;;1;
The Ten Bells;84 Commercial St.;;1;1;1;;;;;;;1;
Scala;275 Pentonville Rd;;1;1;;;;;;;;;1
The Palm Tree;127 Grove Rd;;1;1;1;;;1;;;;;
The Gun;27 Cold Harbour;;1;1;1;;;;;;;1;
Londesborough;36 Barbauld Road;;1;1;1;1;;;;;;1;
The Clapham Grand;21-25 Saint John's Hill, London, United Kingdom;;1;1;1;1;;1;;;;;
The Good Ship;289 Kilburn High Road;;1;1;1;1;;;;;;;
Pub on the Park;19 Martello St;;1;1;1;;;;;;;1;
Zigfrid von Underbelly;11 Hoxton Sq;;1;1;1;1;;;;;;1;
The Roof Gardens;99 Kensington High Street, London, United Kingdom;1;1;;;;;;;;;1;
Amersham Arms;388 New Cross Rd.;;1;1;1;1;;;;;;1;
Jamm;261 Brixton Road, London, United Kingdom;;1;1;1;1;;;;;;;
Plan B;418 Brixton Road;;1;1;1;1;;;;;;;
Pembury Tavern;90 Amhurst Rd.;;1;1;1;;;;;;;1;
The Old Queen's Head;44 Essex Rd.;1;1;1;1;1;;;;;;1;
Infernos Disco;146 Clapham High Street, London, United Kingdom;;1;1;1;1;;;;;;;
Jazz Cafe;5 Parkway;;1;1;1;;;;;;;1;
KOKO;1A Camden High St.;;1;1;1;1;;;;;;;
Electric Ballroom;184 Camden High Street, London, United Kingdom;;1;1;1;1;;;;;;;
Club 414;414-416 Coldharbour Lane, London, United Kingdom;;1;1;1;;;;;;;;
The Garage;20-22 Highbury Crescent, London, United Kingdom;;1;1;1;1;;;;;;;
Embargo 59;533B King's Road, London, United Kingdom;;1;1;1;;;;;;;;
The Underworld;174 Camden High St.;;1;1;1;;;;;;;;
Dublin Castle;94 Parkway;;1;1;1;;;;;;;;
Coronet Theatre;28 New Kent Rd.;;1;;;;;;;;;;
The Lexington;96-98 Pentonville Rd.;;1;1;1;;;;;;;1;
Area Club;67 Albert Embankment, London, United Kingdom;;1;1;1;;;;;;;;
The Academy;Kingston Lane;;1;1;1;;;;;;;;
Pacha;Terminus Place, London, United Kingdom;;1;1;1;1;;;;;;;
Electrowerkz;7 Torrens Street, London, United Kingdom;;1;1;1;;;;;;;;
National Portrait Gallery;St. Martin's Place, London, United Kingdom;;;;;;;;1;1;;;
Natural History Museum;Cromwell Road, London, United Kingdom;1;;;;;1;;;1;;1;
London Canal Museum;12-13 New Wharf Road, London, United Kingdom;;;;;;1;;;1;;;
London Transport Museum;Covent Garden Piazza, London, United Kingdom;;;;;;1;;;1;;;
Museum of Fulham Palace;Bishops Avenue;;;;;;1;;;1;;;
Westminster Abbey;20 Dean's Yard;;;;;;1;;;1;;;
Horse Guards Parade;Whitehall;;;;;;1;;;;;;
St James's Park;The Storeyard, Horse Guards Road, St James's Park, London, United Kingdom;1;;;;;;;;;1;;
The Photographers' Gallery;16-18 Ramillies Street, London, United Kingdom;;;;;;;;1;;;1;
Hackney City Farm;1 Goldsmiths Row;1;;;;;;;;;1;1;
Albert Memorial;Kensington Gardens, London, United Kingdom;1;;;;;;;;;1;;
Kensington Palace;Kensington Gardens, London, United Kingdom;;;;;;1;;;1;;;
Battersea Power Station;188 Kirtling St;;;;;;1;;;;;;1
Battersea Park;Albert Bridge Rd.;1;;;;;;1;;;1;;
Highgate Cemetery;Swain's Ln;;;;;;1;;;;1;;
Victoria Park;360 Victoria Park Rd.;1;;;;;;;;;1;;
Island Gardens;London, United Kingdom;1;;1;;;;;;;1;1;
Millennium Bridge;Millennium Bridge;1;;;;;1;;;;1;;
Holland Park Salon;31 St Anns Road, London, United Kingdom;1;;;;;;;;;1;;
Crystal Palace Park;Thicket Road, London, Crystal Palace, United Kingdom;1;;1;;;;;;;1;1;
Golders Hill Park;London, United Kingdom;1;;;;;;1;;;1;;
Gunnersbury Park Museum;Gunnersbury Park, Pope's Lane, London, United Kingdom;1;;;;;;;;1;1;1;
Paddington Recreation Ground;Randolph Avenue, London, United Kingdom;1;;;;;;1;;;1;1;
Kenwood House;Hampstead Lane, London, Hampstead, United Kingdom;1;;;;;1;;;;1;1;
Eltham Palace and Gardens;Court Yard, United Kingdom;1;;;;;1;;1;;;;
Royal Observatory Greenwich;Blackheath Avenue, Greenwich, United Kingdom;;;;;;1;;;1;;;
Big Ben;Parliament Sq.;;;;;;1;;;;;;
Tower of London Park;London, United Kingdom;;;;;;1;;;1;;;
The London Dungeon;County Hall, Westminster Bridge Rd;;;;;;1;;;;;;
Madame Tussauds London;Marylebone Road, London, United Kingdom;;;;;;;;;1;;;
Syon Park;Syon Park, London Road, Brentford, United Kingdom;1;;;1; ;;;;;1;1;
Chiswick House & Gardens;Burlington Ln;1;;1;;;;;;;1;1;
Ham House and Garden;Ham Street, Ham, Richmond-upon-Thames, United Kingdom;1;;;;;1;;;;;;
Marble Hill Park;United Kingdom;1;;;1;;;;;;1;;
Osterley Park;Jersey Rd.;1;;;;;;;;;1;1;
Sutton House;2-4 Homerton High Street, London, United Kingdom;;;1;;;1;;;1;;;
Somerset House;Strand;;;1;;;;1;1;1;1;1;1
Hoxton Square;London, United Kingdom;;;1;;;;;;;1;;
Soho Square Garden;Soho Square, London, United Kingdom;1;;1;;;;1;;;1;1;
Golden Square;London, United Kingdom;1;;1;;;;1;;;1;1;
Abbey Road Studios;3 Abbey Rd.;;;;1;;;;;;;;
Queen's House;Romney Road, London, United Kingdom;;;;;;1;;1;;;;
Leicester Square;Leicester Sq;;;;;;1;;;;1;1;
Finsbury Park;Endymion Road, London, United Kingdom;1;;;1;;;1;;;1;;
Tavistock Square Gardens;London, United Kingdom;1;;;;;;;;;1;;
Vauxhall Bridge;Vauxhall Bridge Rd;;;;;;1;;1;;;;
Potters Fields Park;London, United Kingdom;1;;;1;;;;;;1;1;1
Grosvenor Square Garden;London, United Kingdom;1;;;1;;1;;;;1;;
Mudchute Park;London, United Kingdom;1;;;;;;;;;1;1;
Millennium Park;London, United Kingdom;1;;;;;;1;;;1;;
Furnivall Gardens;London, United Kingdom;1;;;;;;;;;1;;
Christ Church;Commercial St.;;;;;;1;;;;;;
St Pancras Church;Euston Rd.;;;;;;1;;;;;;
Tower Hamlets Cemetery Park;Southern Grove, London, United Kingdom;1;;;;;1;;;;1;;
Hainault Forest Country Park;United Kingdom;1;;;;1;;;;;1;;
Ealing Common;London, United Kingdom;;;;;;;;;;1;;
Museum of London;150 London Wall, London, United Kingdom;;;;;;1;;1;1;;;
The British Museum;Great Russell Street, London, United Kingdom;;;;;;1;;1;1;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
National Maritime Museum;Romney Road, London, United Kingdom;;;;;;1;;;1;;;
Design Museum;28 Shad Thames, London, United Kingdom;;;;;;1;;1;1;;;
Geffrye Museum;136 Kingsland Road, London, United Kingdom;1;;;;;;;;1;1;;
Horniman Museum & Gardens;100 London Road, London, United Kingdom;;;;;;1;;1;1;;;
Dulwich Picture Gallery;College Road, United Kingdom;;;;;;;;1;1;;;
National Gallery Shop;Saint Vincent House, 30 Orange Street, London, United Kingdom;;;;;;;;1;1;;;
Barbican Centre;Silk St;;;1;;;;;;;;1;1
The Sherlock Holmes Museum;221B Baker Street, London, United Kingdom;;;;;;;;;1;;;
Serpentine Gallery;Kensington Gardens, London, United Kingdom;;;1;;;;;1;;;;
Kew Bridge Steam Museum;Green Dragon Lane, Brentford, United Kingdom;;;;;;1;;;;;;
Hogarth's House;London, United Kingdom;;;;;;;;1;;1;;
Royal Academy of Arts;Burlington House, Piccadilly, London, United Kingdom;;;;;;;;1;1;;;
South London Gallery;67 Peckham Road, London, United Kingdom;;;;;;;;1;;;;
National Army Museum;Royal Hospital Road, London, United Kingdom;;;;;;1;;;1;;;
Garden Museum;5 Lambeth Palace Road, London, United Kingdom;1;;;;;;;;1;1;;
Freud Museum;20 Maresfield Gardens, London, United Kingdom;;;;;;1;;;1;;;
The Wallace Collection;Hertford House, Manchester Square, London, United Kingdom;;;1;;;;;1;1;;1;
Churchill War Rooms (Churchill Museum & Cabinet War Rooms);King Charles St.;;;;;;1;;;1;;;
Imperial War Museum;Lambeth Road, London, United Kingdom;;;;;;1;;;1;;;
Museum of London Docklands;1 Warehouse, West India Quay, London, United Kingdom;;;;;;1;;;1;;;
Bloomsbury Square Gardens;London, United Kingdom;1;;;;;;;;;1;;
Pump House Gallery;London, United Kingdom;;;;;;;;1;;;;
Discover;383-387 High Street, London, United Kingdom;;;;;;;;;;;;
Dominion Theatre;268-269 Tottenham Court Rd.;;;;1;;;;1;;;;
Her Majesty's Theatre;Haymarket;;;;1;;;;1;;;;
Victoria Palace Theatre;Victoria Street;;;;1;;;;1;;;;
New Wimbledon Theatre;93 The Broadway;;;;1;;;;1;;;;
Southbank Centre;Belvedere Road, London, United Kingdom;;;1;;;;;1;;;;
Everyman Baker St;96-98 Baker Street, London, United Kingdom;;;1;;;;;;;;;1
Royal Albert Hall;Kensington Gore;;;;1;;;;;;;;
Sadler's Wells;Rosebery Ave.;;;1;1;;;;1;;;;
The Gate Cinema;87 Notting Hill Gate, London, United Kingdom;;;;;;;;;;;;1
Richmond Theatre;Little Green;;;;1;;;;1;;;;
BAC (Battersea Arts Centre);Lavender Hill;;;1;;;;;;;;;
Polka Theatre;240 The Broadway, London, United Kingdom;;;;;;;;;;;;1
Clapham Picturehouse;76 Venn Street, London, United Kingdom;;;;;;;;;;;;
Odeon Cinema Swiss Cottage;96 Finchley Road, London, United Kingdom;;;;;;;;;;;;
Ritzy Cinema;Brixton Oval, Coldharbour Lane, London, United Kingdom;;;;;;;;;;;;
Renoir Cinema;The Brunswick, London, United Kingdom;;;;;;;;;;;;
Rio Cinema;107 Kingsland High Street, London, United Kingdom;;;;;;;;;;;;
Grosvenor Victoria Casino;150-162 Edgware Road, London, United Kingdom;;1;;;;;;;;;;
Vue;Leicester Square, 3 Cranbourn Street, London, United Kingdom;;;;;;;;;;;;1
